Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,4090.000000,4150.000000,3920.000000,3960.000000,3835.656006,27520900
2020-04-14,3960.000000,4030.000000,3920.000000,3960.000000,3835.656006,64571400
2020-04-15,4000.000000,4000.000000,3800.000000,3820.000000,3700.052002,86149800
2020-04-16,3780.000000,3780.000000,3620.000000,3620.000000,3506.332031,61494300
2020-04-17,3680.000000,3840.000000,3680.000000,3800.000000,3680.679932,78593000
2020-04-20,3800.000000,3830.000000,3710.000000,3720.000000,3603.191895,50406600
2020-04-21,3710.000000,3740.000000,3610.000000,3640.000000,3525.703857,36590700
2020-04-22,3600.000000,3660.000000,3450.000000,3640.000000,3525.703857,76750500
2020-04-23,3700.000000,3790.000000,3650.000000,3760.000000,3641.935791,85068700
2020-04-24,3760.000000,3760.000000,3610.000000,3630.000000,3516.017822,49597000
2020-04-27,3670.000000,3760.000000,3570.000000,3710.000000,3593.505859,45682200
2020-04-28,3750.000000,3790.000000,3630.000000,3740.000000,3622.563965,53532700
2020-04-29,3770.000000,3780.000000,3650.000000,3690.000000,3574.133789,40557200
2020-04-30,3750.000000,3860.000000,3720.000000,3850.000000,3729.109863,92257000
2020-05-04,3750.000000,3750.000000,3610.000000,3610.000000,3496.645996,71301800
2020-05-05,3630.000000,3660.000000,3580.000000,3610.000000,3496.645996,54983300
2020-05-06,3610.000000,3680.000000,3580.000000,3640.000000,3525.703857,70425000
2020-05-08,3690.000000,3740.000000,3600.000000,3740.000000,3622.563965,63346500
2020-05-11,3760.000000,3920.000000,3750.000000,3920.000000,3796.911865,79511800
2020-05-12,3920.000000,3920.000000,3780.000000,3820.000000,3700.052002,58347900
2020-05-13,3820.000000,3820.000000,3710.000000,3730.000000,3612.877930,44974600
2020-05-14,3700.000000,3710.000000,3530.000000,3570.000000,3457.901855,80570900
2020-05-15,3590.000000,3720.000000,3560.000000,3710.000000,3593.505859,65284900
2020-05-18,3720.000000,3950.000000,3710.000000,3910.000000,3787.225830,88368200
2020-05-19,4000.000000,4040.000000,3940.000000,3950.000000,3825.969971,77238800
2020-05-20,3950.000000,3980.000000,3870.000000,3970.000000,3845.341797,38965700
2020-05-26,3970.000000,4360.000000,3970.000000,4330.000000,4194.038086,116041900
2020-05-27,4350.000000,4390.000000,4220.000000,4350.000000,4213.409668,68841200
2020-05-28,4370.000000,4580.000000,4350.000000,4540.000000,4397.443848,86825700
2020-05-29,4520.000000,4770.000000,4470.000000,4770.000000,4620.221680,164786500
2020-06-02,4760.000000,4950.000000,4630.000000,4730.000000,4581.478027,72425900
2020-06-03,4750.000000,4950.000000,4680.000000,4890.000000,4736.454102,76654100
2020-06-04,4950.000000,4960.000000,4740.000000,4760.000000,4610.535645,82711000
2020-06-05,4780.000000,5025.000000,4670.000000,5000.000000,4843.000000,63578800
2020-06-08,5250.000000,5250.000000,4990.000000,5025.000000,4867.214844,53808200
2020-06-09,5100.000000,5125.000000,4980.000000,5000.000000,4843.000000,43049500
2020-06-10,5025.000000,5025.000000,4650.000000,4850.000000,4697.709961,39812900
2020-06-11,4840.000000,4840.000000,4660.000000,4700.000000,4552.419922,53920100
2020-06-12,4590.000000,4820.000000,4400.000000,4790.000000,4639.593750,45837700
2020-06-15,4800.000000,4850.000000,4700.000000,4740.000000,4591.164063,42880500
2020-06-16,4800.000000,5000.000000,4800.000000,4970.000000,4813.941895,38736700
2020-06-17,4990.000000,5000.000000,4910.000000,4970.000000,4813.941895,24744500
2020-06-18,4970.000000,4970.000000,4800.000000,4800.000000,4649.279785,40331900
2020-06-19,4830.000000,4910.000000,4800.000000,4890.000000,4736.454102,62874800
2020-06-22,4930.000000,4940.000000,4850.000000,4890.000000,4736.454102,25097200
2020-06-23,4890.000000,4940.000000,4850.000000,4900.000000,4746.139648,29490500
2020-06-24,4920.000000,5050.000000,4900.000000,5000.000000,4843.000000,55421700
2020-06-25,4840.000000,4920.000000,4800.000000,4900.000000,4900.000000,34952700
2020-06-26,4950.000000,4950.000000,4900.000000,4900.000000,4900.000000,24019200
